--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
5.1400       226674       YM2151: reg 0x74, val 0x04
5.1400       226674       YM2151: reg 0x2C, val 0x4E
5.1400       226674       YM2151: reg 0x34, val 0xEC
5.1400       226674       YM2151: reg 0x0F, val 0x96
5.1400       226674       YM2151: reg 0x27, val 0xFC
5.1400       226674       YM2151: reg 0x7F, val 0x7F
5.1400       226674       WAIT: 882 samples (1/50s)
5.1600       227556       YM2151: reg 0x2D, val 0x20
5.1600       227556       YM2151: reg 0x35, val 0x88
5.1600       227556       YM2151: reg 0x75, val 0x00
5.1600       227556       YM2151: reg 0x75, val 0x04
5.1600       227556       YM2151: reg 0x2D, val 0x20
5.1600       227556       YM2151: reg 0x35, val 0x88
5.1600       227556       YM2151: reg 0x0F, val 0x96
5.1600       227556       YM2151: reg 0x27, val 0xFC
5.1600       227556       YM2151: reg 0x7F, val 0x7F
5.1600       227556       WAIT: 882 samples (1/50s)
5.1800       228438       YM2151: reg 0x2D, val 0x1D
5.1800       228438       YM2151: reg 0x35, val 0xFC
5.1800       228438       YM2151: reg 0x75, val 0x04
5.1800       228438       YM2151: reg 0x2D, val 0x1A
5.1800       228438       YM2151: reg 0x35, val 0x44
5.1800       228438       YM2151: reg 0x75, val 0x04
5.1800       228438       YM2151: reg 0x74, val 0x08
5.1800       228438       YM2151: reg 0x2C, val 0x4E
5.1800       228438       YM2151: reg 0x34, val 0xEC
5.1800       228438       YM2151: reg 0x0F, val 0x96
5.1800       228438       YM2151: reg 0x27, val 0xFC
5.1800       228438       YM2151: reg 0x7F, val 0x7F
5.1800       228438       WAIT: 882 samples (1/50s)
5.2000       229320       YM2151: reg 0x2C, val 0x52
5.2000       229320       YM2151: reg 0x34, val 0xE4
5.2000       229320       YM2151: reg 0x74, val 0x08
5.2000       229320       YM2151: reg 0x2D, val 0x1C
5.2000       229320       YM2151: reg 0x35, val 0x94
5.2000       229320       YM2151: reg 0x75, val 0x04
5.2000       229320       YM2151: reg 0x2D, val 0x15
5.2000       229320       YM2151: reg 0x35, val 0xD8
5.2000       229320       YM2151: reg 0x75, val 0x04
5.2000       229320       YM2151: reg 0x2E, val 0x58
5.2000       229320       YM2151: reg 0x36, val 0x0C
5.2000       229320       YM2151: reg 0x76, val 0x04
5.2000       229320       YM2151: reg 0x74, val 0x14
5.2000       229320       YM2151: reg 0x2C, val 0x52
5.2000       229320       YM2151: reg 0x34, val 0xE4
5.2000       229320       YM2151: reg 0x0F, val 0x96
5.2000       229320       YM2151: reg 0x27, val 0xFC
5.2000       229320       YM2151: reg 0x7F, val 0x7F
5.2000       229320       YM2151: reg 0x75, val 0x08
5.2000       229320       YM2151: reg 0x2D, val 0x15
5.2000       229320       YM2151: reg 0x35, val 0xD8
5.2000       229320       YM2151: reg 0x0F, val 0x96
5.2000       229320       YM2151: reg 0x27, val 0xFC
5.2000       229320       YM2151: reg 0x7F, val 0x7F
5.2000       229320       WAIT: 882 samples (1/50s)
5.2200       230202       YM2151: reg 0x2D, val 0x14
5.2200       230202       YM2151: reg 0x35, val 0xD8
5.2200       230202       YM2151: reg 0x75, val 0x08
5.2200       230202       YM2151: reg 0x2E, val 0x58
5.2200       230202       YM2151: reg 0x36, val 0x2C
5.2200       230202       YM2151: reg 0x76, val 0x04
5.2200       230202       YM2151: reg 0x74, val 0x18
5.2200       230202       YM2151: reg 0x2C, val 0x52
5.2200       230202       YM2151: reg 0x34, val 0xE4
5.2200       230202       YM2151: reg 0x0F, val 0x96
5.2200       230202       YM2151: reg 0x27, val 0xFC
5.2200       230202       YM2151: reg 0x7F, val 0x7F
5.2200       230202       YM2151: reg 0x75, val 0x0C
5.2200       230202       YM2151: reg 0x2D, val 0x14
5.2200       230202       YM2151: reg 0x35, val 0xD8
5.2200       230202       YM2151: reg 0x0F, val 0x96
5.2200       230202       YM2151: reg 0x27, val 0xFC
5.2200       230202       YM2151: reg 0x7F, val 0x7F
5.2200       230202       WAIT: 882 samples (1/50s)
5.2400       231084       YM2151: reg 0x2D, val 0x15
5.2400       231084       YM2151: reg 0x35, val 0xD8
5.2400       231084       YM2151: reg 0x75, val 0x0C
5.2400       231084       YM2151: reg 0x2D, val 0x12
5.2400       231084       YM2151: reg 0x35, val 0xE4
5.2400       231084       YM2151: reg 0x75, val 0x0C
5.2400       231084       YM2151: reg 0x2E, val 0x58
5.2400       231084       YM2151: reg 0x36, val 0x50
5.2400       231084       YM2151: reg 0x76, val 0x04
5.2400       231084       YM2151: reg 0x75, val 0x14
5.2400       231084       YM2151: reg 0x2D, val 0x12
5.2400       231084       YM2151: reg 0x35, val 0xE4
5.2400       231084       YM2151: reg 0x0F, val 0x96
5.2400       231084       YM2151: reg 0x27, val 0xFC
5.2400       231084       YM2151: reg 0x7F, val 0x7F
5.2400       231084       WAIT: 882 samples (1/50s)
5.2600       231966       YM2151: reg 0x2D, val 0x11
5.2600       231966       YM2151: reg 0x35, val 0xFC
5.2600       231966       YM2151: reg 0x75, val 0x14
5.2600       231966       YM2151: reg 0x2E, val 0x58
5.2600       231966       YM2151: reg 0x36, val 0x78
5.2600       231966       YM2151: reg 0x76, val 0x04
5.2600       231966       YM2151: reg 0x75, val 0x20
5.2600       231966       YM2151: reg 0x2D, val 0x11
5.2600       231966       YM2151: reg 0x35, val 0xFC
5.2600       231966       YM2151: reg 0x0F, val 0x96
5.2600       231966       YM2151: reg 0x27, val 0xFC
5.2600       231966       YM2151: reg 0x7F, val 0x7F
5.2600       231966       WAIT: 882 samples (1/50s)
5.2800       232848       YM2151: reg 0x2C, val 0x48
5.2800       232848       YM2151: reg 0x34, val 0xD0
5.2800       232848       YM2151: reg 0x74, val 0x18
5.2800       232848       YM2151: reg 0x2D, val 0x38
5.2800       232848       YM2151: reg 0x35, val 0xC8
5.2800       232848       YM2151: reg 0x75, val 0x20
5.2800       232848       YM2151: reg 0x2E, val 0x58
5.2800       232848       YM2151: reg 0x36, val 0x9C
5.2800       232848       YM2151: reg 0x76, val 0x04
5.2800       232848       YM2151: reg 0x0F, val 0x9F
5.2800       232848       YM2151: reg 0x27, val 0xFC
5.2800       232848       YM2151: reg 0x7F, val 0x7F
5.2800       232848       YM2151: reg 0x74, val 0x18
5.2800       232848       YM2151: reg 0x75, val 0x7F
5.2800       232848       YM2151: reg 0x76, val 0x04
5.2800       232848       YM2151: reg 0x0F, val 0x9F
5.2800       232848       YM2151: reg 0x27, val 0xFC
5.2800       232848       YM2151: reg 0x7F, val 0x78
5.2800       232848       YM2151: reg 0x74, val 0x00
5.2800       232848       YM2151: reg 0x2C, val 0x48
5.2800       232848       YM2151: reg 0x34, val 0xD0
5.2800       232848       YM2151: reg 0x0F, val 0x9F
5.2800       232848       YM2151: reg 0x27, val 0xFC
5.2800       232848       YM2151: reg 0x7F, val 0x78
5.2800       232848       YM2151: reg 0x75, val 0x7F
5.2800       232848       YM2151: reg 0x2D, val 0x38
5.2800       232848       YM2151: reg 0x35, val 0xC8
5.2800       232848       YM2151: reg 0x0F, val 0x9F
5.2800       232848       YM2151: reg 0x27, val 0xFC
5.2800       232848       YM2151: reg 0x7F, val 0x52
5.2800       232848       WAIT: 882 samples (1/50s)
5.3000       233730       YM2151: reg 0x2E, val 0x58
5.3000       233730       YM2151: reg 0x36, val 0xC0
5.3000       233730       YM2151: reg 0x76, val 0x04
5.3000       233730       YM2151: reg 0x74, val 0x04
5.3000       233730       YM2151: reg 0x2C, val 0x48
5.3000       233730       YM2151: reg 0x34, val 0xD0
5.3000       233730       YM2151: reg 0x0F, val 0x9F
5.3000       233730       YM2151: reg 0x27, val 0xFC
5.3000       233730       YM2151: reg 0x7F, val 0x52
5.3000       233730       YM2151: reg 0x75, val 0x7F
5.3000       233730       YM2151: reg 0x2D, val 0x38
5.3000       233730       YM2151: reg 0x35, val 0xC8
5.3000       233730       YM2151: reg 0x0F, val 0x9F
5.3000       233730       YM2151: reg 0x27, val 0xFC
5.3000       233730       YM2151: reg 0x7F, val 0x69
5.3000       233730       WAIT: 882 samples (1/50s)
5.3200       234612       YM2151: reg 0x2E, val 0x58
5.3200       234612       YM2151: reg 0x36, val 0xE4
5.3200       234612       YM2151: reg 0x76, val 0x04
5.3200       234612       YM2151: reg 0x75, val 0x7F
5.3200       234612       YM2151: reg 0x2D, val 0x38
5.3200       234612       YM2151: reg 0x35, val 0xC8
5.3200       234612       YM2151: reg 0x0F, val 0x9F
5.3200       234612       YM2151: reg 0x27, val 0xFC
5.3200       234612       YM2151: reg 0x7F, val 0x74
5.3200       234612       WAIT: 882 samples (1/50s)
5.3400       235494       YM2151: reg 0x74, val 0x08
5.3400       235494       YM2151: reg 0x2C, val 0x48
5.3400       235494       YM2151: reg 0x34, val 0xD0
5.3400       235494       YM2151: reg 0x0F, val 0x9F
5.3400       235494       YM2151: reg 0x27, val 0xFC
5.3400       235494       YM2151: reg 0x7F, val 0x74
5.3400       235494       YM2151: reg 0x75, val 0x7F
5.3400       235494       YM2151: reg 0x2D, val 0x38
5.3400       235494       YM2151: reg 0x35, val 0xC8
5.3400       235494       YM2151: reg 0x0F, val 0x9F
5.3400       235494       YM2151: reg 0x27, val 0xFC
5.3400       235494       YM2151: reg 0x7F, val 0x79
5.3400       235494       WAIT: 882 samples (1/50s)
5.3600       236376       YM2151: reg 0x2C, val 0x4E
5.3600       236376       YM2151: reg 0x34, val 0xEC
5.3600       236376       YM2151: reg 0x74, val 0x08
5.3600       236376       YM2151: reg 0x74, val 0x14
5.3600       236376       YM2151: reg 0x2C, val 0x4E
5.3600       236376       YM2151: reg 0x34, val 0xEC
5.3600       236376       YM2151: reg 0x0F, val 0x9F
5.3600       236376       YM2151: reg 0x27, val 0xFC
5.3600       236376       YM2151: reg 0x7F, val 0x79
5.3600       236376       YM2151: reg 0x75, val 0x7F
5.3600       236376       YM2151: reg 0x2D, val 0x38
5.3600       236376       YM2151: reg 0x35, val 0xC8
5.3600       236376       YM2151: reg 0x0F, val 0x9F
5.3600       236376       YM2151: reg 0x27, val 0xFC
5.3600       236376       YM2151: reg 0x7F, val 0x7B
5.3600       236376       YM2151: reg 0x76, val 0x08
5.3600       236376       YM2151: reg 0x2E, val 0x58
5.3600       236376       YM2151: reg 0x36, val 0xE4
5.3600       236376       YM2151: reg 0x0F, val 0x9F
5.3600       236376       YM2151: reg 0x27, val 0xFC
5.3600       236376       YM2151: reg 0x7F, val 0x7B
5.3600       236376       WAIT: 882 samples (1/50s)
5.3800       237258       YM2151: reg 0x74, val 0x18
5.3800       237258       YM2151: reg 0x2C, val 0x4E
5.3800       237258       YM2151: reg 0x34, val 0xEC
5.3800       237258       YM2151: reg 0x0F, val 0x9F
5.3800       237258       YM2151: reg 0x27, val 0xFC
5.3800       237258       YM2151: reg 0x7F, val 0x7B
5.3800       237258       YM2151: reg 0x75, val 0x7F
5.3800       237258       YM2151: reg 0x2D, val 0x38
5.3800       237258       YM2151: reg 0x35, val 0xC8
5.3800       237258       YM2151: reg 0x0F, val 0x9F
5.3800       237258       YM2151: reg 0x27, val 0xFC
5.3800       237258       YM2151: reg 0x7F, val 0x7D
