--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
0000031A  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000031D  | 74: WAIT n+1 (val: 5)
0000031E  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000321  | 70: WAIT n+1 (val: 1)
00000322  | BC: WonderSwan (reg: 0x10, val: 0x41)
00000325  | 61: WAIT (val: 568)
00000328  | BC: WonderSwan (reg: 0x08, val: 0xA9)
0000032B  | 76: WAIT n+1 (val: 7)
0000032C  | BC: WonderSwan (reg: 0x00, val: 0xC8)
0000032F  | BC: WonderSwan (reg: 0x01, val: 0x04)
00000332  | 74: WAIT n+1 (val: 5)
00000333  | BC: WonderSwan (reg: 0x09, val: 0x77)
00000336  | 73: WAIT n+1 (val: 4)
00000337  | C6: WSwan Mem 00 90 CC
0000033B  | C6: WSwan Mem 00 91 DD
0000033F  | C6: WSwan Mem 00 92 EE
00000343  | C6: WSwan Mem 00 93 EE
00000347  | C6: WSwan Mem 00 94 EE
0000034B  | C6: WSwan Mem 00 95 EE
0000034F  | C6: WSwan Mem 00 96 DD
00000353  | C6: WSwan Mem 00 97 CC
00000357  | C6: WSwan Mem 00 98 33
0000035B  | C6: WSwan Mem 00 99 22
0000035F  | C6: WSwan Mem 00 9A 11
00000363  | C6: WSwan Mem 00 9B 11
00000367  | 70: WAIT n+1 (val: 1)
00000368  | C6: WSwan Mem 00 9C 11
0000036C  | C6: WSwan Mem 00 9D 11
00000370  | C6: WSwan Mem 00 9E 22
00000374  | C6: WSwan Mem 00 9F 33
00000378  | 71: WAIT n+1 (val: 2)
00000379  | BC: WonderSwan (reg: 0x02, val: 0x2D)
0000037C  | BC: WonderSwan (reg: 0x03, val: 0x03)
0000037F  | 74: WAIT n+1 (val: 5)
00000380  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000383  | 75: WAIT n+1 (val: 6)
00000384  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000387  | 70: WAIT n+1 (val: 1)
00000388  | BC: WonderSwan (reg: 0x10, val: 0x43)
0000038B  | 61: WAIT (val: 554)
0000038E  | BC: WonderSwan (reg: 0x08, val: 0x9A)
00000391  | 74: WAIT n+1 (val: 5)
00000392  | BC: WonderSwan (reg: 0x09, val: 0x88)
00000395  | 74: WAIT n+1 (val: 5)
00000396  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000399  | 74: WAIT n+1 (val: 5)
0000039A  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000039D  | 70: WAIT n+1 (val: 1)
0000039E  | BC: WonderSwan (reg: 0x10, val: 0x43)
000003A1  | 61: WAIT (val: 568)
000003A4  | BC: WonderSwan (reg: 0x08, val: 0x9A)
000003A7  | 75: WAIT n+1 (val: 6)
000003A8  | BC: WonderSwan (reg: 0x09, val: 0x88)
000003AB  | 74: WAIT n+1 (val: 5)
000003AC  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000003AF  | 75: WAIT n+1 (val: 6)
000003B0  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000003B3  | 71: WAIT n+1 (val: 2)
000003B4  | BC: WonderSwan (reg: 0x10, val: 0x43)
000003B7  | 61: WAIT (val: 566)
000003BA  | BC: WonderSwan (reg: 0x08, val: 0x9A)
000003BD  | 74: WAIT n+1 (val: 5)
000003BE  | BC: WonderSwan (reg: 0x09, val: 0x88)
000003C1  | 74: WAIT n+1 (val: 5)
000003C2  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000003C5  | 74: WAIT n+1 (val: 5)
000003C6  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000003C9  | 70: WAIT n+1 (val: 1)
000003CA  | BC: WonderSwan (reg: 0x10, val: 0x43)
000003CD  | 61: WAIT (val: 568)
000003D0  | BC: WonderSwan (reg: 0x08, val: 0x9A)
000003D3  | 75: WAIT n+1 (val: 6)
000003D4  | BC: WonderSwan (reg: 0x00, val: 0x97)
000003D7  | BC: WonderSwan (reg: 0x01, val: 0x05)
000003DA  | 74: WAIT n+1 (val: 5)
000003DB  | BC: WonderSwan (reg: 0x09, val: 0x88)
000003DE  | 76: WAIT n+1 (val: 7)
000003DF  | BC: WonderSwan (reg: 0x02, val: 0x2B)
000003E2  | BC: WonderSwan (reg: 0x03, val: 0x04)
000003E5  | 74: WAIT n+1 (val: 5)
000003E6  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000003E9  | 72: WAIT n+1 (val: 3)
000003EA  | C6: WSwan Mem 00 A0 CC
000003EE  | C6: WSwan Mem 00 A1 DD
000003F2  | C6: WSwan Mem 00 A2 EE
000003F6  | C6: WSwan Mem 00 A3 EE
000003FA  | C6: WSwan Mem 00 A4 EE
000003FE  | C6: WSwan Mem 00 A5 EE
00000402  | C6: WSwan Mem 00 A6 DD
00000406  | C6: WSwan Mem 00 A7 CC
0000040A  | C6: WSwan Mem 00 A8 33
0000040E  | C6: WSwan Mem 00 A9 22
00000412  | C6: WSwan Mem 00 AA 11
00000416  | C6: WSwan Mem 00 AB 11
0000041A  | 70: WAIT n+1 (val: 1)
0000041B  | C6: WSwan Mem 00 AC 11
0000041F  | C6: WSwan Mem 00 AD 11
00000423  | C6: WSwan Mem 00 AE 22
00000427  | C6: WSwan Mem 00 AF 33
0000042B  | 71: WAIT n+1 (val: 2)
0000042C  | BC: WonderSwan (reg: 0x04, val: 0x2D)
0000042F  | BC: WonderSwan (reg: 0x05, val: 0x03)
00000432  | 70: WAIT n+1 (val: 1)
00000433  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000436  | 73: WAIT n+1 (val: 4)
00000437  | BC: WonderSwan (reg: 0x0B, val: 0x22)
0000043A  | 71: WAIT n+1 (val: 2)
0000043B  | BC: WonderSwan (reg: 0x10, val: 0x47)
0000043E  | 61: WAIT (val: 548)
00000441  | BC: WonderSwan (reg: 0x08, val: 0xA8)
00000444  | 74: WAIT n+1 (val: 5)
00000445  | BC: WonderSwan (reg: 0x09, val: 0x88)
00000448  | 74: WAIT n+1 (val: 5)
00000449  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000044C  | 74: WAIT n+1 (val: 5)
0000044D  | BC: WonderSwan (reg: 0x0B, val: 0x22)
00000450  | 71: WAIT n+1 (val: 2)
00000451  | BC: WonderSwan (reg: 0x10, val: 0x47)
00000454  | 61: WAIT (val: 568)
00000457  | BC: WonderSwan (reg: 0x08, val: 0xA8)
0000045A  | 74: WAIT n+1 (val: 5)
0000045B  | BC: WonderSwan (reg: 0x09, val: 0x88)
0000045E  | 75: WAIT n+1 (val: 6)
0000045F  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000462  | 74: WAIT n+1 (val: 5)
00000463  | BC: WonderSwan (reg: 0x0B, val: 0x22)
00000466  | 71: WAIT n+1 (val: 2)
00000467  | BC: WonderSwan (reg: 0x10, val: 0x47)
0000046A  | 61: WAIT (val: 566)
0000046D  | BC: WonderSwan (reg: 0x08, val: 0xA8)
00000470  | 74: WAIT n+1 (val: 5)
00000471  | BC: WonderSwan (reg: 0x09, val: 0x88)
00000474  | 74: WAIT n+1 (val: 5)
00000475  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000478  | 74: WAIT n+1 (val: 5)
00000479  | BC: WonderSwan (reg: 0x0B, val: 0x22)
