--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
000002D1  | 61: WAIT (val: 568)
000002D4  | 54: YM2151 (reg: 0x24, val: 0xFC)
000002D7  | 54: YM2151 (reg: 0x74, val: 0x14)
000002DA  | 75: WAIT n+1 (val: 6)
000002DB  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002DE  | 54: YM2151 (reg: 0x75, val: 0x1C)
000002E1  | 74: WAIT n+1 (val: 5)
000002E2  | 75: WAIT n+1 (val: 6)
000002E3  | 71: WAIT n+1 (val: 2)
000002E4  | 54: YM2151 (reg: 0x24, val: 0xFC)
000002E7  | 54: YM2151 (reg: 0x74, val: 0x14)
000002EA  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002ED  | 54: YM2151 (reg: 0x75, val: 0x1C)
000002F0  | 61: WAIT (val: 566)
000002F3  | 54: YM2151 (reg: 0x24, val: 0xFC)
000002F6  | 54: YM2151 (reg: 0x74, val: 0x14)
000002F9  | 74: WAIT n+1 (val: 5)
000002FA  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002FD  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000300  | 74: WAIT n+1 (val: 5)
00000301  | 74: WAIT n+1 (val: 5)
00000302  | 70: WAIT n+1 (val: 1)
00000303  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000306  | 54: YM2151 (reg: 0x74, val: 0x14)
00000309  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000030C  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000030F  | 61: WAIT (val: 568)
00000312  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000315  | 54: YM2151 (reg: 0x74, val: 0x14)
00000318  | 75: WAIT n+1 (val: 6)
00000319  | 54: YM2151 (reg: 0x2C, val: 0x34)
0000031C  | 54: YM2151 (reg: 0x34, val: 0x6C)
0000031F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000322  | 54: YM2151 (reg: 0x74, val: 0x14)
00000325  | 54: YM2151 (reg: 0x2C, val: 0x3C)
00000328  | 54: YM2151 (reg: 0x34, val: 0x6C)
0000032B  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000032E  | 54: YM2151 (reg: 0x74, val: 0x14)
00000331  | 74: WAIT n+1 (val: 5)
00000332  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000335  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000338  | 76: WAIT n+1 (val: 7)
00000339  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000033C  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000033F  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000342  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000345  | 74: WAIT n+1 (val: 5)
00000346  | 72: WAIT n+1 (val: 3)
00000347  | 70: WAIT n+1 (val: 1)
00000348  | 71: WAIT n+1 (val: 2)
00000349  | 70: WAIT n+1 (val: 1)
0000034A  | 73: WAIT n+1 (val: 4)
0000034B  | 71: WAIT n+1 (val: 2)
0000034C  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000034F  | 54: YM2151 (reg: 0x74, val: 0x14)
00000352  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000355  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000358  | 54: YM2151 (reg: 0x2E, val: 0x2C)
0000035B  | 54: YM2151 (reg: 0x36, val: 0x68)
0000035E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000361  | 54: YM2151 (reg: 0x2E, val: 0x2C)
00000364  | 54: YM2151 (reg: 0x36, val: 0x68)
00000367  | 54: YM2151 (reg: 0x76, val: 0x38)
0000036A  | 54: YM2151 (reg: 0x08, val: 0x1E)
0000036D  | 61: WAIT (val: 548)
00000370  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000373  | 54: YM2151 (reg: 0x74, val: 0x14)
00000376  | 74: WAIT n+1 (val: 5)
00000377  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000037A  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000037D  | 74: WAIT n+1 (val: 5)
0000037E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000381  | 54: YM2151 (reg: 0x76, val: 0x38)
00000384  | 74: WAIT n+1 (val: 5)
00000385  | 71: WAIT n+1 (val: 2)
00000386  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000389  | 54: YM2151 (reg: 0x74, val: 0x14)
0000038C  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000038F  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000392  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000395  | 54: YM2151 (reg: 0x76, val: 0x38)
00000398  | 61: WAIT (val: 568)
0000039B  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000039E  | 54: YM2151 (reg: 0x74, val: 0x14)
000003A1  | 74: WAIT n+1 (val: 5)
000003A2  | 54: YM2151 (reg: 0x25, val: 0xFC)
000003A5  | 54: YM2151 (reg: 0x75, val: 0x1C)
000003A8  | 75: WAIT n+1 (val: 6)
000003A9  | 54: YM2151 (reg: 0x26, val: 0xFC)
000003AC  | 54: YM2151 (reg: 0x76, val: 0x38)
000003AF  | 74: WAIT n+1 (val: 5)
000003B0  | 71: WAIT n+1 (val: 2)
000003B1  | 54: YM2151 (reg: 0x24, val: 0xFC)
000003B4  | 54: YM2151 (reg: 0x74, val: 0x14)
000003B7  | 54: YM2151 (reg: 0x25, val: 0xFC)
000003BA  | 54: YM2151 (reg: 0x75, val: 0x1C)
000003BD  | 54: YM2151 (reg: 0x26, val: 0xFC)
000003C0  | 54: YM2151 (reg: 0x76, val: 0x38)
000003C3  | 61: WAIT (val: 566)
000003C6  | 54: YM2151 (reg: 0x24, val: 0xFC)
000003C9  | 54: YM2151 (reg: 0x74, val: 0x14)
000003CC  | 74: WAIT n+1 (val: 5)
000003CD  | 54: YM2151 (reg: 0x25, val: 0xFC)
