--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
00000469  | 74: WAIT n+1 (val: 5)
0000046A  | 75: WAIT n+1 (val: 6)
0000046B  | 74: WAIT n+1 (val: 5)
0000046C  | 71: WAIT n+1 (val: 2)
0000046D  | 61: WAIT (val: 566)
00000470  | 74: WAIT n+1 (val: 5)
00000471  | 74: WAIT n+1 (val: 5)
00000472  | 74: WAIT n+1 (val: 5)
00000473  | 70: WAIT n+1 (val: 1)
00000474  | 61: WAIT (val: 568)
00000477  | 75: WAIT n+1 (val: 6)
00000478  | 74: WAIT n+1 (val: 5)
00000479  | 75: WAIT n+1 (val: 6)
0000047A  | 71: WAIT n+1 (val: 2)
0000047B  | 61: WAIT (val: 566)
0000047E  | 73: WAIT n+1 (val: 4)
0000047F  | 74: WAIT n+1 (val: 5)
00000480  | 74: WAIT n+1 (val: 5)
00000481  | 71: WAIT n+1 (val: 2)
00000482  | 61: WAIT (val: 568)
00000485  | 74: WAIT n+1 (val: 5)
00000486  | 75: WAIT n+1 (val: 6)
00000487  | 74: WAIT n+1 (val: 5)
00000488  | 71: WAIT n+1 (val: 2)
00000489  | 61: WAIT (val: 566)
0000048C  | 74: WAIT n+1 (val: 5)
0000048D  | 75: WAIT n+1 (val: 6)
0000048E  | 74: WAIT n+1 (val: 5)
0000048F  | 71: WAIT n+1 (val: 2)
00000490  | 61: WAIT (val: 567)
00000493  | 73: WAIT n+1 (val: 4)
00000494  | 74: WAIT n+1 (val: 5)
00000495  | 74: WAIT n+1 (val: 5)
00000496  | 70: WAIT n+1 (val: 1)
00000497  | 61: WAIT (val: 569)
0000049A  | 74: WAIT n+1 (val: 5)
0000049B  | 75: WAIT n+1 (val: 6)
0000049C  | 74: WAIT n+1 (val: 5)
0000049D  | 71: WAIT n+1 (val: 2)
0000049E  | 61: WAIT (val: 567)
000004A1  | 73: WAIT n+1 (val: 4)
000004A2  | 74: WAIT n+1 (val: 5)
000004A3  | 74: WAIT n+1 (val: 5)
000004A4  | 70: WAIT n+1 (val: 1)
000004A5  | 61: WAIT (val: 569)
000004A8  | 74: WAIT n+1 (val: 5)
000004A9  | 75: WAIT n+1 (val: 6)
000004AA  | 74: WAIT n+1 (val: 5)
000004AB  | 71: WAIT n+1 (val: 2)
000004AC  | 61: WAIT (val: 563)
000004AF  | 72: WAIT n+1 (val: 3)
000004B0  | 74: WAIT n+1 (val: 5)
000004B1  | 74: WAIT n+1 (val: 5)
000004B2  | 71: WAIT n+1 (val: 2)
000004B3  | 72: WAIT n+1 (val: 3)
000004B4  | 70: WAIT n+1 (val: 1)
000004B5  | 61: WAIT (val: 566)
000004B8  | 72: WAIT n+1 (val: 3)
000004B9  | 74: WAIT n+1 (val: 5)
000004BA  | 75: WAIT n+1 (val: 6)
000004BB  | 71: WAIT n+1 (val: 2)
000004BC  | 72: WAIT n+1 (val: 3)
000004BD  | 71: WAIT n+1 (val: 2)
000004BE  | 61: WAIT (val: 563)
000004C1  | 72: WAIT n+1 (val: 3)
000004C2  | 74: WAIT n+1 (val: 5)
000004C3  | 73: WAIT n+1 (val: 4)
000004C4  | 71: WAIT n+1 (val: 2)
000004C5  | 72: WAIT n+1 (val: 3)
000004C6  | 71: WAIT n+1 (val: 2)
000004C7  | 61: WAIT (val: 565)
000004CA  | 72: WAIT n+1 (val: 3)
000004CB  | 78: WAIT n+1 (val: 9)
000004CC  | 74: WAIT n+1 (val: 5)
000004CD  | 77: WAIT n+1 (val: 8)
000004CE  | 74: WAIT n+1 (val: 5)
000004CF  | 76: WAIT n+1 (val: 7)
000004D0  | 71: WAIT n+1 (val: 2)
000004D1  | 72: WAIT n+1 (val: 3)
000004D2  | 74: WAIT n+1 (val: 5)
000004D3  | 61: WAIT (val: 540)
000004D6  | 74: WAIT n+1 (val: 5)
000004D7  | 75: WAIT n+1 (val: 6)
000004D8  | 73: WAIT n+1 (val: 4)
000004D9  | 71: WAIT n+1 (val: 2)
000004DA  | 61: WAIT (val: 568)
000004DD  | 74: WAIT n+1 (val: 5)
000004DE  | 75: WAIT n+1 (val: 6)
000004DF  | 74: WAIT n+1 (val: 5)
000004E0  | 71: WAIT n+1 (val: 2)
000004E1  | 61: WAIT (val: 566)
000004E4  | 74: WAIT n+1 (val: 5)
000004E5  | 74: WAIT n+1 (val: 5)
000004E6  | 74: WAIT n+1 (val: 5)
000004E7  | 70: WAIT n+1 (val: 1)
000004E8  | 61: WAIT (val: 568)
000004EB  | 75: WAIT n+1 (val: 6)
000004EC  | 74: WAIT n+1 (val: 5)
000004ED  | 75: WAIT n+1 (val: 6)
000004EE  | 76: WAIT n+1 (val: 7)
000004EF  | 70: WAIT n+1 (val: 1)
000004F0  | 61: WAIT (val: 560)
000004F3  | 73: WAIT n+1 (val: 4)
000004F4  | 74: WAIT n+1 (val: 5)
000004F5  | 75: WAIT n+1 (val: 6)
000004F6  | 70: WAIT n+1 (val: 1)
000004F7  | 61: WAIT (val: 568)
000004FA  | 74: WAIT n+1 (val: 5)
000004FB  | 75: WAIT n+1 (val: 6)
000004FC  | 75: WAIT n+1 (val: 6)
000004FD  | 71: WAIT n+1 (val: 2)
000004FE  | 61: WAIT (val: 565)
00000501  | 74: WAIT n+1 (val: 5)
00000502  | 74: WAIT n+1 (val: 5)
00000503  | 74: WAIT n+1 (val: 5)
00000504  | 71: WAIT n+1 (val: 2)
00000505  | 61: WAIT (val: 568)
00000508  | 74: WAIT n+1 (val: 5)
00000509  | 75: WAIT n+1 (val: 6)
0000050A  | 74: WAIT n+1 (val: 5)
0000050B  | 71: WAIT n+1 (val: 2)
0000050C  | 61: WAIT (val: 566)
0000050F  | 74: WAIT n+1 (val: 5)
00000510  | 75: WAIT n+1 (val: 6)
00000511  | 74: WAIT n+1 (val: 5)
00000512  | 71: WAIT n+1 (val: 2)
00000513  | 61: WAIT (val: 566)
00000516  | 74: WAIT n+1 (val: 5)
00000517  | 74: WAIT n+1 (val: 5)
00000518  | 74: WAIT n+1 (val: 5)
00000519  | 70: WAIT n+1 (val: 1)
0000051A  | 61: WAIT (val: 569)
0000051D  | 74: WAIT n+1 (val: 5)
0000051E  | 75: WAIT n+1 (val: 6)
0000051F  | 74: WAIT n+1 (val: 5)
00000520  | 71: WAIT n+1 (val: 2)
00000521  | 61: WAIT (val: 566)
00000524  | 74: WAIT n+1 (val: 5)
00000525  | 74: WAIT n+1 (val: 5)
00000526  | 74: WAIT n+1 (val: 5)
00000527  | 70: WAIT n+1 (val: 1)
00000528  | 61: WAIT (val: 568)
0000052B  | 75: WAIT n+1 (val: 6)
0000052C  | 74: WAIT n+1 (val: 5)
0000052D  | 75: WAIT n+1 (val: 6)
0000052E  | 71: WAIT n+1 (val: 2)
0000052F  | 61: WAIT (val: 565)
00000532  | 74: WAIT n+1 (val: 5)
00000533  | 74: WAIT n+1 (val: 5)
00000534  | 74: WAIT n+1 (val: 5)
00000535  | 70: WAIT n+1 (val: 1)
00000536  | 61: WAIT (val: 569)
00000539  | 74: WAIT n+1 (val: 5)
0000053A  | 75: WAIT n+1 (val: 6)
0000053B  | 74: WAIT n+1 (val: 5)
0000053C  | 71: WAIT n+1 (val: 2)
0000053D  | 61: WAIT (val: 566)
00000540  | 74: WAIT n+1 (val: 5)
00000541  | 74: WAIT n+1 (val: 5)
00000542  | 74: WAIT n+1 (val: 5)
00000543  | 70: WAIT n+1 (val: 1)
00000544  | 61: WAIT (val: 568)
00000547  | 75: WAIT n+1 (val: 6)
00000548  | 74: WAIT n+1 (val: 5)
00000549  | 75: WAIT n+1 (val: 6)
0000054A  | 71: WAIT n+1 (val: 2)
0000054B  | 61: WAIT (val: 566)
0000054E  | 73: WAIT n+1 (val: 4)
0000054F  | 74: WAIT n+1 (val: 5)
00000550  | 74: WAIT n+1 (val: 5)
00000551  | 71: WAIT n+1 (val: 2)
00000552  | 61: WAIT (val: 568)
00000555  | 74: WAIT n+1 (val: 5)
00000556  | 75: WAIT n+1 (val: 6)
00000557  | 74: WAIT n+1 (val: 5)
00000558  | 71: WAIT n+1 (val: 2)
00000559  | 61: WAIT (val: 566)
0000055C  | 74: WAIT n+1 (val: 5)
0000055D  | 74: WAIT n+1 (val: 5)
0000055E  | 74: WAIT n+1 (val: 5)
0000055F  | 70: WAIT n+1 (val: 1)
00000560  | 61: WAIT (val: 569)
00000563  | 74: WAIT n+1 (val: 5)
00000564  | 75: WAIT n+1 (val: 6)
00000565  | 75: WAIT n+1 (val: 6)
00000566  | 70: WAIT n+1 (val: 1)
00000567  | 61: WAIT (val: 566)
0000056A  | 74: WAIT n+1 (val: 5)
0000056B  | 74: WAIT n+1 (val: 5)
0000056C  | 74: WAIT n+1 (val: 5)
0000056D  | 70: WAIT n+1 (val: 1)
0000056E  | 61: WAIT (val: 569)
00000571  | 74: WAIT n+1 (val: 5)
00000572  | 74: WAIT n+1 (val: 5)
00000573  | 75: WAIT n+1 (val: 6)
00000574  | 71: WAIT n+1 (val: 2)
00000575  | 61: WAIT (val: 566)
00000578  | 74: WAIT n+1 (val: 5)
00000579  | 74: WAIT n+1 (val: 5)
0000057A  | 73: WAIT n+1 (val: 4)
0000057B  | 71: WAIT n+1 (val: 2)
0000057C  | 61: WAIT (val: 568)
0000057F  | 74: WAIT n+1 (val: 5)
00000580  | 75: WAIT n+1 (val: 6)
00000581  | 75: WAIT n+1 (val: 6)
00000582  | 70: WAIT n+1 (val: 1)
00000583  | 61: WAIT (val: 566)
00000586  | 74: WAIT n+1 (val: 5)
00000587  | 74: WAIT n+1 (val: 5)
00000588  | 74: WAIT n+1 (val: 5)
00000589  | 70: WAIT n+1 (val: 1)
0000058A  | 61: WAIT (val: 569)
0000058D  | 74: WAIT n+1 (val: 5)
0000058E  | 75: WAIT n+1 (val: 6)
0000058F  | 74: WAIT n+1 (val: 5)
00000590  | 71: WAIT n+1 (val: 2)
00000591  | 61: WAIT (val: 563)
00000594  | 72: WAIT n+1 (val: 3)
00000595  | 75: WAIT n+1 (val: 6)
00000596  | 74: WAIT n+1 (val: 5)
00000597  | 75: WAIT n+1 (val: 6)
00000598  | 71: WAIT n+1 (val: 2)
00000599  | 61: WAIT (val: 563)
0000059C  | 72: WAIT n+1 (val: 3)
0000059D  | 73: WAIT n+1 (val: 4)
0000059E  | 74: WAIT n+1 (val: 5)
0000059F  | 74: WAIT n+1 (val: 5)
000005A0  | 70: WAIT n+1 (val: 1)
000005A1  | 61: WAIT (val: 566)
000005A4  | 72: WAIT n+1 (val: 3)
000005A5  | 76: WAIT n+1 (val: 7)
000005A6  | 73: WAIT n+1 (val: 4)
000005A7  | 76: WAIT n+1 (val: 7)
000005A8  | 73: WAIT n+1 (val: 4)
000005A9  | 75: WAIT n+1 (val: 6)
000005AA  | 70: WAIT n+1 (val: 1)
000005AB  | 73: WAIT n+1 (val: 4)
000005AC  | 71: WAIT n+1 (val: 2)
000005AD  | 61: WAIT (val: 549)
000005B0  | 74: WAIT n+1 (val: 5)
000005B1  | 74: WAIT n+1 (val: 5)
000005B2  | 71: WAIT n+1 (val: 2)
000005B3  | 72: WAIT n+1 (val: 3)
000005B4  | 71: WAIT n+1 (val: 2)
000005B5  | 61: WAIT (val: 568)
000005B8  | 74: WAIT n+1 (val: 5)
000005B9  | 75: WAIT n+1 (val: 6)
000005BA  | 72: WAIT n+1 (val: 3)
000005BB  | 72: WAIT n+1 (val: 3)
000005BC  | 71: WAIT n+1 (val: 2)
000005BD  | 61: WAIT (val: 565)
000005C0  | 74: WAIT n+1 (val: 5)
000005C1  | 74: WAIT n+1 (val: 5)
000005C2  | 71: WAIT n+1 (val: 2)
000005C3  | 72: WAIT n+1 (val: 3)
000005C4  | 70: WAIT n+1 (val: 1)
000005C5  | 61: WAIT (val: 568)
000005C8  | 74: WAIT n+1 (val: 5)
000005C9  | 75: WAIT n+1 (val: 6)
000005CA  | 72: WAIT n+1 (val: 3)
000005CB  | 72: WAIT n+1 (val: 3)
000005CC  | 76: WAIT n+1 (val: 7)
000005CD  | 70: WAIT n+1 (val: 1)
000005CE  | 61: WAIT (val: 559)
000005D1  | 74: WAIT n+1 (val: 5)
000005D2  | 74: WAIT n+1 (val: 5)
000005D3  | 74: WAIT n+1 (val: 5)
000005D4  | 71: WAIT n+1 (val: 2)
000005D5  | 61: WAIT (val: 568)
000005D8  | 74: WAIT n+1 (val: 5)
000005D9  | 75: WAIT n+1 (val: 6)
000005DA  | 74: WAIT n+1 (val: 5)
000005DB  | 71: WAIT n+1 (val: 2)
000005DC  | 61: WAIT (val: 566)
000005DF  | 74: WAIT n+1 (val: 5)
000005E0  | 74: WAIT n+1 (val: 5)
000005E1  | 74: WAIT n+1 (val: 5)
000005E2  | 70: WAIT n+1 (val: 1)
000005E3  | 61: WAIT (val: 568)
000005E6  | 75: WAIT n+1 (val: 6)
000005E7  | 74: WAIT n+1 (val: 5)
000005E8  | 75: WAIT n+1 (val: 6)
000005E9  | 71: WAIT n+1 (val: 2)
000005EA  | 61: WAIT (val: 566)
000005ED  | 73: WAIT n+1 (val: 4)
000005EE  | 74: WAIT n+1 (val: 5)
000005EF  | 74: WAIT n+1 (val: 5)
000005F0  | 70: WAIT n+1 (val: 1)
000005F1  | 61: WAIT (val: 569)
000005F4  | 74: WAIT n+1 (val: 5)
000005F5  | 75: WAIT n+1 (val: 6)
000005F6  | 74: WAIT n+1 (val: 5)
000005F7  | 71: WAIT n+1 (val: 2)
000005F8  | 61: WAIT (val: 566)
000005FB  | 74: WAIT n+1 (val: 5)
000005FC  | 74: WAIT n+1 (val: 5)
000005FD  | 74: WAIT n+1 (val: 5)
000005FE  | 70: WAIT n+1 (val: 1)
000005FF  | 61: WAIT (val: 569)
00000602  | 74: WAIT n+1 (val: 5)
00000603  | 75: WAIT n+1 (val: 6)
00000604  | 74: WAIT n+1 (val: 5)
00000605  | 71: WAIT n+1 (val: 2)
00000606  | 61: WAIT (val: 566)
00000609  | 74: WAIT n+1 (val: 5)
0000060A  | 74: WAIT n+1 (val: 5)
0000060B  | 74: WAIT n+1 (val: 5)
0000060C  | 70: WAIT n+1 (val: 1)
0000060D  | 61: WAIT (val: 568)
00000610  | 74: WAIT n+1 (val: 5)
00000611  | 75: WAIT n+1 (val: 6)
00000612  | 75: WAIT n+1 (val: 6)
00000613  | 70: WAIT n+1 (val: 1)
00000614  | 61: WAIT (val: 566)
00000617  | 74: WAIT n+1 (val: 5)
00000618  | 74: WAIT n+1 (val: 5)
00000619  | 74: WAIT n+1 (val: 5)
0000061A  | 70: WAIT n+1 (val: 1)
0000061B  | 61: WAIT (val: 569)
0000061E  | 74: WAIT n+1 (val: 5)
0000061F  | 75: WAIT n+1 (val: 6)
00000620  | 74: WAIT n+1 (val: 5)
00000621  | 71: WAIT n+1 (val: 2)
00000622  | 61: WAIT (val: 566)
00000625  | 74: WAIT n+1 (val: 5)
00000626  | 75: WAIT n+1 (val: 6)
00000627  | 74: WAIT n+1 (val: 5)
00000628  | 71: WAIT n+1 (val: 2)
00000629  | 61: WAIT (val: 566)
0000062C  | 74: WAIT n+1 (val: 5)
0000062D  | 74: WAIT n+1 (val: 5)
0000062E  | 74: WAIT n+1 (val: 5)
0000062F  | 70: WAIT n+1 (val: 1)
00000630  | 61: WAIT (val: 569)
00000633  | 74: WAIT n+1 (val: 5)
00000634  | 74: WAIT n+1 (val: 5)
00000635  | 75: WAIT n+1 (val: 6)
00000636  | 71: WAIT n+1 (val: 2)
00000637  | 61: WAIT (val: 566)
0000063A  | 74: WAIT n+1 (val: 5)
0000063B  | 74: WAIT n+1 (val: 5)
0000063C  | 73: WAIT n+1 (val: 4)
0000063D  | 71: WAIT n+1 (val: 2)
0000063E  | 61: WAIT (val: 569)
00000641  | 74: WAIT n+1 (val: 5)
00000642  | 75: WAIT n+1 (val: 6)
00000643  | 74: WAIT n+1 (val: 5)
00000644  | 71: WAIT n+1 (val: 2)
00000645  | 61: WAIT (val: 566)
00000648  | 74: WAIT n+1 (val: 5)
00000649  | 74: WAIT n+1 (val: 5)
0000064A  | 73: WAIT n+1 (val: 4)
0000064B  | 71: WAIT n+1 (val: 2)
0000064C  | 61: WAIT (val: 568)
0000064F  | 74: WAIT n+1 (val: 5)
00000650  | 75: WAIT n+1 (val: 6)
00000651  | 75: WAIT n+1 (val: 6)
00000652  | 70: WAIT n+1 (val: 1)
00000653  | 61: WAIT (val: 567)
00000656  | 73: WAIT n+1 (val: 4)
00000657  | 74: WAIT n+1 (val: 5)
00000658  | 74: WAIT n+1 (val: 5)
00000659  | 70: WAIT n+1 (val: 1)
0000065A  | 61: WAIT (val: 569)
0000065D  | 74: WAIT n+1 (val: 5)
0000065E  | 75: WAIT n+1 (val: 6)
0000065F  | 74: WAIT n+1 (val: 5)
00000660  | 71: WAIT n+1 (val: 2)
00000661  | 61: WAIT (val: 566)
00000664  | 74: WAIT n+1 (val: 5)
00000665  | 74: WAIT n+1 (val: 5)
00000666  | 74: WAIT n+1 (val: 5)
00000667  | 70: WAIT n+1 (val: 1)
00000668  | 61: WAIT (val: 569)
0000066B  | 74: WAIT n+1 (val: 5)
0000066C  | 75: WAIT n+1 (val: 6)
0000066D  | 74: WAIT n+1 (val: 5)
0000066E  | 71: WAIT n+1 (val: 2)
0000066F  | 61: WAIT (val: 563)
00000672  | 72: WAIT n+1 (val: 3)
00000673  | 74: WAIT n+1 (val: 5)
00000674  | 74: WAIT n+1 (val: 5)
00000675  | 73: WAIT n+1 (val: 4)
00000676  | 71: WAIT n+1 (val: 2)
00000677  | 61: WAIT (val: 565)
0000067A  | 72: WAIT n+1 (val: 3)
0000067B  | 75: WAIT n+1 (val: 6)
0000067C  | 74: WAIT n+1 (val: 5)
0000067D  | 74: WAIT n+1 (val: 5)
0000067E  | 71: WAIT n+1 (val: 2)
0000067F  | 61: WAIT (val: 564)
00000682  | 72: WAIT n+1 (val: 3)
00000683  | 73: WAIT n+1 (val: 4)
00000684  | 74: WAIT n+1 (val: 5)
00000685  | 74: WAIT n+1 (val: 5)
00000686  | 70: WAIT n+1 (val: 1)
00000687  | 61: WAIT (val: 566)
0000068A  | 72: WAIT n+1 (val: 3)
0000068B  | 76: WAIT n+1 (val: 7)
0000068C  | 73: WAIT n+1 (val: 4)
0000068D  | 76: WAIT n+1 (val: 7)
0000068E  | 74: WAIT n+1 (val: 5)
0000068F  | 74: WAIT n+1 (val: 5)
00000690  | 70: WAIT n+1 (val: 1)
00000691  | 74: WAIT n+1 (val: 5)
00000692  | 70: WAIT n+1 (val: 1)
00000693  | 61: WAIT (val: 549)
00000696  | 74: WAIT n+1 (val: 5)
00000697  | 74: WAIT n+1 (val: 5)
00000698  | 71: WAIT n+1 (val: 2)
00000699  | 72: WAIT n+1 (val: 3)
0000069A  | 71: WAIT n+1 (val: 2)
0000069B  | 61: WAIT (val: 568)
0000069E  | 74: WAIT n+1 (val: 5)
0000069F  | 75: WAIT n+1 (val: 6)
000006A0  | 72: WAIT n+1 (val: 3)
000006A1  | 72: WAIT n+1 (val: 3)
000006A2  | 71: WAIT n+1 (val: 2)
000006A3  | 61: WAIT (val: 565)
000006A6  | 74: WAIT n+1 (val: 5)
000006A7  | 75: WAIT n+1 (val: 6)
000006A8  | 72: WAIT n+1 (val: 3)
000006A9  | 72: WAIT n+1 (val: 3)
000006AA  | 73: WAIT n+1 (val: 4)
000006AB  | 61: WAIT (val: 563)
000006AE  | 74: WAIT n+1 (val: 5)
000006AF  | 74: WAIT n+1 (val: 5)
000006B0  | 74: WAIT n+1 (val: 5)
000006B1  | 70: WAIT n+1 (val: 1)
000006B2  | 61: WAIT (val: 568)
000006B5  | 75: WAIT n+1 (val: 6)
000006B6  | 74: WAIT n+1 (val: 5)
000006B7  | 75: WAIT n+1 (val: 6)
000006B8  | 71: WAIT n+1 (val: 2)
000006B9  | 61: WAIT (val: 566)
000006BC  | 74: WAIT n+1 (val: 5)
000006BD  | 74: WAIT n+1 (val: 5)
000006BE  | 73: WAIT n+1 (val: 4)
000006BF  | 71: WAIT n+1 (val: 2)
000006C0  | 61: WAIT (val: 568)
000006C3  | 74: WAIT n+1 (val: 5)
000006C4  | 75: WAIT n+1 (val: 6)
000006C5  | 75: WAIT n+1 (val: 6)
000006C6  | 71: WAIT n+1 (val: 2)
000006C7  | 61: WAIT (val: 565)
000006CA  | 74: WAIT n+1 (val: 5)
000006CB  | 74: WAIT n+1 (val: 5)
000006CC  | 74: WAIT n+1 (val: 5)
000006CD  | 70: WAIT n+1 (val: 1)
000006CE  | 61: WAIT (val: 569)
000006D1  | 76: WAIT n+1 (val: 7)
000006D2  | 77: WAIT n+1 (val: 8)
000006D3  | 74: WAIT n+1 (val: 5)
000006D4  | 76: WAIT n+1 (val: 7)
000006D5  | 74: WAIT n+1 (val: 5)
000006D6  | 77: WAIT n+1 (val: 8)
000006D7  | 70: WAIT n+1 (val: 1)
000006D8  | 61: WAIT (val: 543)
000006DB  | 74: WAIT n+1 (val: 5)
000006DC  | 74: WAIT n+1 (val: 5)
000006DD  | 74: WAIT n+1 (val: 5)
000006DE  | 70: WAIT n+1 (val: 1)
000006DF  | 61: WAIT (val: 568)
000006E2  | 75: WAIT n+1 (val: 6)
000006E3  | 75: WAIT n+1 (val: 6)
000006E4  | 74: WAIT n+1 (val: 5)
000006E5  | 71: WAIT n+1 (val: 2)
000006E6  | 61: WAIT (val: 566)
000006E9  | 74: WAIT n+1 (val: 5)
000006EA  | 74: WAIT n+1 (val: 5)
000006EB  | 74: WAIT n+1 (val: 5)
000006EC  | 70: WAIT n+1 (val: 1)
000006ED  | 61: WAIT (val: 568)
000006F0  | 74: WAIT n+1 (val: 5)
000006F1  | 76: WAIT n+1 (val: 7)
000006F2  | 74: WAIT n+1 (val: 5)
000006F3  | 75: WAIT n+1 (val: 6)
000006F4  | 74: WAIT n+1 (val: 5)
000006F5  | 76: WAIT n+1 (val: 7)
000006F6  | 70: WAIT n+1 (val: 1)
000006F7  | 61: WAIT (val: 548)
000006FA  | 74: WAIT n+1 (val: 5)
000006FB  | 74: WAIT n+1 (val: 5)
000006FC  | 74: WAIT n+1 (val: 5)
000006FD  | 71: WAIT n+1 (val: 2)
000006FE  | 61: WAIT (val: 568)
00000701  | 74: WAIT n+1 (val: 5)
00000702  | 75: WAIT n+1 (val: 6)
00000703  | 75: WAIT n+1 (val: 6)
00000704  | 70: WAIT n+1 (val: 1)
00000705  | 61: WAIT (val: 566)
00000708  | 74: WAIT n+1 (val: 5)
00000709  | 74: WAIT n+1 (val: 5)
0000070A  | 74: WAIT n+1 (val: 5)
0000070B  | 70: WAIT n+1 (val: 1)
0000070C  | 61: WAIT (val: 568)
0000070F  | 75: WAIT n+1 (val: 6)
00000710  | 74: WAIT n+1 (val: 5)
00000711  | 75: WAIT n+1 (val: 6)
00000712  | 71: WAIT n+1 (val: 2)
00000713  | 61: WAIT (val: 566)
00000716  | 73: WAIT n+1 (val: 4)
00000717  | 74: WAIT n+1 (val: 5)
00000718  | 74: WAIT n+1 (val: 5)
00000719  | 71: WAIT n+1 (val: 2)
0000071A  | 61: WAIT (val: 568)
0000071D  | 77: WAIT n+1 (val: 8)
0000071E  | 73: WAIT n+1 (val: 4)
0000071F  | 77: WAIT n+1 (val: 8)
00000720  | 74: WAIT n+1 (val: 5)
00000721  | 76: WAIT n+1 (val: 7)
00000722  | 74: WAIT n+1 (val: 5)
00000723  | 71: WAIT n+1 (val: 2)
00000724  | 61: WAIT (val: 545)
00000727  | 74: WAIT n+1 (val: 5)
00000728  | 75: WAIT n+1 (val: 6)
00000729  | 73: WAIT n+1 (val: 4)
0000072A  | 71: WAIT n+1 (val: 2)
0000072B  | 61: WAIT (val: 568)
0000072E  | 74: WAIT n+1 (val: 5)
0000072F  | 75: WAIT n+1 (val: 6)
00000730  | 75: WAIT n+1 (val: 6)
00000731  | 70: WAIT n+1 (val: 1)
00000732  | 61: WAIT (val: 566)
00000735  | 75: WAIT n+1 (val: 6)
00000736  | 74: WAIT n+1 (val: 5)
00000737  | 75: WAIT n+1 (val: 6)
00000738  | 73: WAIT n+1 (val: 4)
00000739  | 61: WAIT (val: 563)
0000073C  | 74: WAIT n+1 (val: 5)
0000073D  | 74: WAIT n+1 (val: 5)
0000073E  | 74: WAIT n+1 (val: 5)
0000073F  | 70: WAIT n+1 (val: 1)
00000740  | 61: WAIT (val: 569)
00000743  | 74: WAIT n+1 (val: 5)
00000744  | 75: WAIT n+1 (val: 6)
00000745  | 74: WAIT n+1 (val: 5)
00000746  | 71: WAIT n+1 (val: 2)
00000747  | 61: WAIT (val: 566)
0000074A  | 74: WAIT n+1 (val: 5)
0000074B  | 74: WAIT n+1 (val: 5)
0000074C  | 74: WAIT n+1 (val: 5)
0000074D  | 70: WAIT n+1 (val: 1)
0000074E  | 61: WAIT (val: 568)
00000751  | 75: WAIT n+1 (val: 6)
00000752  | 74: WAIT n+1 (val: 5)
00000753  | 75: WAIT n+1 (val: 6)
00000754  | 71: WAIT n+1 (val: 2)
00000755  | 61: WAIT (val: 566)
00000758  | 73: WAIT n+1 (val: 4)
00000759  | 74: WAIT n+1 (val: 5)
0000075A  | 74: WAIT n+1 (val: 5)
0000075B  | 70: WAIT n+1 (val: 1)
0000075C  | 61: WAIT (val: 569)
0000075F  | 76: WAIT n+1 (val: 7)
00000760  | 74: WAIT n+1 (val: 5)
00000761  | 76: WAIT n+1 (val: 7)
00000762  | 74: WAIT n+1 (val: 5)
00000763  | 76: WAIT n+1 (val: 7)
00000764  | 70: WAIT n+1 (val: 1)
00000765  | 73: WAIT n+1 (val: 4)
00000766  | 72: WAIT n+1 (val: 3)
00000767  | 70: WAIT n+1 (val: 1)
00000768  | 61: WAIT (val: 544)
0000076B  | 74: WAIT n+1 (val: 5)
0000076C  | 74: WAIT n+1 (val: 5)
0000076D  | 71: WAIT n+1 (val: 2)
0000076E  | 61: WAIT (val: 573)
00000771  | 74: WAIT n+1 (val: 5)
00000772  | 75: WAIT n+1 (val: 6)
00000773  | 71: WAIT n+1 (val: 2)
00000774  | 61: WAIT (val: 571)
00000777  | 74: WAIT n+1 (val: 5)
00000778  | 74: WAIT n+1 (val: 5)
00000779  | 71: WAIT n+1 (val: 2)
0000077A  | 61: WAIT (val: 572)
0000077D  | 75: WAIT n+1 (val: 6)
0000077E  | 75: WAIT n+1 (val: 6)
0000077F  | 71: WAIT n+1 (val: 2)
00000780  | 61: WAIT (val: 571)
00000783  | 73: WAIT n+1 (val: 4)
00000784  | 74: WAIT n+1 (val: 5)
00000785  | 71: WAIT n+1 (val: 2)
00000786  | 61: WAIT (val: 573)
00000789  | 74: WAIT n+1 (val: 5)
0000078A  | 75: WAIT n+1 (val: 6)
0000078B  | 71: WAIT n+1 (val: 2)
0000078C  | 61: WAIT (val: 571)
0000078F  | 74: WAIT n+1 (val: 5)
00000790  | 74: WAIT n+1 (val: 5)
00000791  | 71: WAIT n+1 (val: 2)
00000792  | 61: WAIT (val: 573)
00000795  | 74: WAIT n+1 (val: 5)
00000796  | 75: WAIT n+1 (val: 6)
00000797  | 71: WAIT n+1 (val: 2)
00000798  | 61: WAIT (val: 571)
0000079B  | 74: WAIT n+1 (val: 5)
0000079C  | 74: WAIT n+1 (val: 5)
0000079D  | 70: WAIT n+1 (val: 1)
0000079E  | 61: WAIT (val: 573)
000007A1  | 75: WAIT n+1 (val: 6)
000007A2  | 74: WAIT n+1 (val: 5)
000007A3  | 72: WAIT n+1 (val: 3)
000007A4  | 61: WAIT (val: 571)
000007A7  | 73: WAIT n+1 (val: 4)
000007A8  | 74: WAIT n+1 (val: 5)
000007A9  | 71: WAIT n+1 (val: 2)
000007AA  | 61: WAIT (val: 573)
000007AD  | 74: WAIT n+1 (val: 5)
